"filename", "language", "C#", "ShaderLab", "JSON", "HLSL", "HTML", "Markdown", "PostCSS", "XML", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\HorizontalLineAttributeProcessor.cs", "C#", -23, 0, 0, 0, 0, 0, 0, 0, 0, -2, -25
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\IndentAttributeProcessor.cs", "C#", -13, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\LabelTextAttributeProcessor.cs", "C#", -12, 0, 0, 0, 0, 0, 0, 0, 0, -1, -13
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\LabelWidthAttributeProcessor.cs", "C#", -19, 0, 0, 0, 0, 0, 0, 0, 0, -3, -22
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\OnValueChangedAttributeProcessor.cs", "C#", -16, 0, 0, 0, 0, 0, 0, 0, 0, -2, -18
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\PropertyOrderAttributeProcessor.cs", "C#", -13, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\ReadOnlyAttributeProcessor.cs", "C#", -13, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\RequiredAttributeProcessor.cs", "C#", -18, 0, 0, 0, 0, 0, 0, 0, 0, -2, -20
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\SectionHeaderAttributeProcessor.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\ShowIfAttributeProcessor.cs", "C#", -13, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\TabGroupAttributeProcessor.cs", "C#", -43, 0, 0, 0, 0, 0, 0, 0, 0, -7, -50
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\TitleHeaderAttributeProcessor.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\ValidateInputAttributeProcessor.cs", "C#", -17, 0, 0, 0, 0, 0, 0, 0, 0, -2, -19
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\EditorColors.cs", "C#", -112, 0, 0, 0, 0, 0, 0, 0, 0, -13, -125
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\EditorIcons.cs", "C#", -1181, 0, 0, 0, 0, 0, 0, 0, 0, -3, -1184
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Experimental\SimpleTreeView.cs", "C#", -98, 0, 0, 0, 0, 0, 0, 0, 0, -15, -113
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Experimental\TextFieldPopup.cs", "C#", -66, 0, 0, 0, 0, 0, 0, 0, 0, -12, -78
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Experimental\Toolbar.cs", "C#", -51, 0, 0, 0, 0, 0, 0, 0, 0, -12, -63
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Experimental\TreeMenu.cs", "C#", -184, 0, 0, 0, 0, 0, 0, 0, 0, -28, -212
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Extensions\EnumExtensions.cs", "C#", -56, 0, 0, 0, 0, 0, 0, 0, 0, -3, -59
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Extensions\SerializedPropertyExtensions.cs", "C#", -247, 0, 0, 0, 0, 0, 0, 0, -8, -49, -304
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\InspectorProperty\EditableInspectorProperty.cs", "C#", -163, 0, 0, 0, 0, 0, 0, 0, -2, -18, -183
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\InspectorProperty\InspectorButton.cs", "C#", -79, 0, 0, 0, 0, 0, 0, 0, 0, -16, -95
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\InspectorProperty\InspectorField.cs", "C#", -212, 0, 0, 0, 0, 0, 0, 0, 0, -35, -247
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\InspectorProperty\InspectorProperty.cs", "C#", -77, 0, 0, 0, 0, 0, 0, 0, 0, -10, -87
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\InspectorProperty\InspectorPropertyGroup.cs", "C#", -77, 0, 0, 0, 0, 0, 0, 0, 0, -15, -92
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\InspectorProperty\NonSerializedProperty.cs", "C#", -47, 0, 0, 0, 0, 0, 0, 0, 0, -9, -56
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\LucidEditor.cs", "C#", -63, 0, 0, 0, 0, 0, 0, 0, -13, -18, -94
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\LucidEditorGUI.cs", "C#", -822, 0, 0, 0, 0, 0, 0, 0, 0, -121, -943
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\LucidEditorGUILayout.cs", "C#", -843, 0, 0, 0, 0, 0, 0, 0, 0, -153, -996
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\LucidEditorPrefs.cs", "C#", -168, 0, 0, 0, 0, 0, 0, 0, 0, -19, -187
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\LucidEditorUtility.cs", "C#", -38, 0, 0, 0, 0, 0, 0, 0, 0, -7, -45
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\LucidGUIEvent.cs", "C#", -92, 0, 0, 0, 0, 0, 0, 0, 0, -16, -108
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\PropertyGroupProcessor.cs", "C#", -37, 0, 0, 0, 0, 0, 0, 0, 0, -6, -43
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\PropertyProcessor.cs", "C#", -36, 0, 0, 0, 0, 0, 0, 0, 0, -5, -41
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\SerializeReferenceDropdown.cs", "C#", -137, 0, 0, 0, 0, 0, 0, 0, 0, -18, -155
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\SerializedPropertyUtility.cs", "C#", -30, 0, 0, 0, 0, 0, 0, 0, 0, -2, -32
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Utils\InspectorPropertyUtil.cs", "C#", -175, 0, 0, 0, 0, 0, 0, 0, -20, -34, -229
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Utils\ProcessorUtil.cs", "C#", -65, 0, 0, 0, 0, 0, 0, 0, 0, -10, -75
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Utils\ReflectionUtil.cs", "C#", -225, 0, 0, 0, 0, 0, 0, 0, -14, -35, -274
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Utils\TypeUtil.cs", "C#", -91, 0, 0, 0, 0, 0, 0, 0, -20, -14, -125
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Runtime\Attributes\AssetsOnlyAttribute.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, 0, -2, -16
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Runtime\Attributes\BlockquoteAttribute.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, 0, -2, -16
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Runtime\Attributes\BoxGroupAttribute.cs", "C#", -9, 0, 0, 0, 0, 0, 0, 0, 0, -1, -10
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Runtime\Attributes\ButtonAttribute.cs", "C#", -24, 0, 0, 0, 0, 0, 0, 0, 0, -5, -29
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Runtime\Attributes\DisableIfAttribute.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, 0, -2, -16
