level,health,attack,defense,accuracy ,dodge,critical,criticalDamage,damageReduction,energyGenerateRate,speed
87,4400,440,440,0.8,0.1,0.1,1.2,0,10,30
88,4450,445,445,0.8,0.1,0.1,1.2,0,10,30
89,4500,450,450,0.8,0.1,0.1,1.2,0,10,30
90,4550,455,455,0.8,0.1,0.1,1.2,0,10,30
91,4600,460,460,0.8,0.1,0.1,1.2,0,10,30
92,4650,465,465,0.8,0.1,0.1,1.2,0,10,30
93,4700,470,470,0.8,0.1,0.1,1.2,0,10,30
94,4750,475,475,0.8,0.1,0.1,1.2,0,10,30
95,4800,480,480,0.8,0.1,0.1,1.2,0,10,30
96,4850,485,485,0.8,0.1,0.1,1.2,0,10,30
97,4900,490,490,0.8,0.1,0.1,1.2,0,10,30
98,4950,495,495,0.8,0.1,0.1,1.2,0,10,30
99,5000,500,500,0.8,0.1,0.1,1.2,0,10,30
100,5250,525,525,0.8,0.1,0.1,1.2,0,10,30
101,5500,550,550,0.8,0.1,0.1,1.2,0,10,30
102,5750,575,575,0.8,0.1,0.1,1.2,0,10,30
103,6000,600,600,0.8,0.1,0.1,1.2,0,10,30
104,6250,625,625,0.8,0.1,0.1,1.2,0,10,30
105,6500,650,650,0.8,0.1,0.1,1.2,0,10,30
106,6750,675,675,0.8,0.1,0.1,1.2,0,10,30
107,7000,700,700,0.8,0.1,0.1,1.2,0,10,30
108,7250,725,725,0.8,0.1,0.1,1.2,0,10,30
109,7500,750,750,0.8,0.1,0.1,1.2,0,10,30
110,7750,775,775,0.8,0.1,0.1,1.2,0,10,30
111,8000,800,800,0.8,0.1,0.1,1.2,0,10,30
112,8250,825,825,0.8,0.1,0.1,1.2,0,10,30
113,8500,850,850,0.8,0.1,0.1,1.2,0,10,30
114,8750,875,875,0.8,0.1,0.1,1.2,0,10,30
115,9000,900,900,0.8,0.1,0.1,1.2,0,10,30
116,9250,925,925,0.8,0.1,0.1,1.2,0,10,30
117,9500,950,950,0.8,0.1,0.1,1.2,0,10,30
118,9750,975,975,0.8,0.1,0.1,1.2,0,10,30
119,10000,1000,1000,0.8,0.1,0.1,1.2,0,10,30
120,10250,1025,1025,0.8,0.1,0.1,1.2,0,10,30
121,10500,1050,1050,0.8,0.1,0.1,1.2,0,10,30
122,10750,1075,1075,0.8,0.1,0.1,1.2,0,10,30
123,11000,1100,1100,0.8,0.1,0.1,1.2,0,10,30
124,11250,1125,1125,0.8,0.1,0.1,1.2,0,10,30
125,11500,1150,1150,0.8,0.1,0.1,1.2,0,10,30
126,11750,1175,1175,0.8,0.1,0.1,1.2,0,10,30
127,12000,1200,1200,0.8,0.1,0.1,1.2,0,10,30
128,12250,1225,1225,0.8,0.1,0.1,1.2,0,10,30
129,12500,1250,1250,0.8,0.1,0.1,1.2,0,10,30
130,12750,1275,1275,0.8,0.1,0.1,1.2,0,10,30
131,13000,1300,1300,0.8,0.1,0.1,1.2,0,10,30
132,13250,1325,1325,0.8,0.1,0.1,1.2,0,10,30
133,13500,1350,1350,0.8,0.1,0.1,1.2,0,10,30
134,13750,1375,1375,0.8,0.1,0.1,1.2,0,10,30
135,14000,1400,1400,0.8,0.1,0.1,1.2,0,10,30
136,14250,1425,1425,0.8,0.1,0.1,1.2,0,10,30
137,14500,1450,1450,0.8,0.1,0.1,1.2,0,10,30
138,14750,1475,1475,0.8,0.1,0.1,1.2,0,10,30
139,15000,1500,1500,0.8,0.1,0.1,1.2,0,10,30
140,15250,1525,1525,0.8,0.1,0.1,1.2,0,10,30
141,15500,1550,1550,0.8,0.1,0.1,1.2,0,10,30
142,15750,1575,1575,0.8,0.1,0.1,1.2,0,10,30
143,16000,1600,1600,0.8,0.1,0.1,1.2,0,10,30
144,16250,1625,1625,0.8,0.1,0.1,1.2,0,10,30
145,16500,1650,1650,0.8,0.1,0.1,1.2,0,10,30
146,16750,1675,1675,0.8,0.1,0.1,1.2,0,10,30
147,17000,1700,1700,0.8,0.1,0.1,1.2,0,10,30
148,17250,1725,1725,0.8,0.1,0.1,1.2,0,10,30
149,17500,1750,1750,0.8,0.1,0.1,1.2,0,10,30
150,17750,1775,1775,0.8,0.1,0.1,1.2,0,10,30
151,18000,1800,1800,0.8,0.1,0.1,1.2,0,10,30
152,18250,1825,1825,0.8,0.1,0.1,1.2,0,10,30
153,18500,1850,1850,0.8,0.1,0.1,1.2,0,10,30
154,18750,1875,1875,0.8,0.1,0.1,1.2,0,10,30
155,19000,1900,1900,0.8,0.1,0.1,1.2,0,10,30
156,19250,1925,1925,0.8,0.1,0.1,1.2,0,10,30
157,19500,1950,1950,0.8,0.1,0.1,1.2,0,10,30
158,19750,1975,1975,0.8,0.1,0.1,1.2,0,10,30
159,20000,2000,2000,0.8,0.1,0.1,1.2,0,10,30
160,20250,2025,2025,0.8,0.1,0.1,1.2,0,10,30
161,20500,2050,2050,0.8,0.1,0.1,1.2,0,10,30
162,20750,2075,2075,0.8,0.1,0.1,1.2,0,10,30
163,21000,2100,2100,0.8,0.1,0.1,1.2,0,10,30
164,21250,2125,2125,0.8,0.1,0.1,1.2,0,10,30
165,21500,2150,2150,0.8,0.1,0.1,1.2,0,10,30
166,21750,2175,2175,0.8,0.1,0.1,1.2,0,10,30
167,22000,2200,2200,0.8,0.1,0.1,1.2,0,10,30
168,22250,2225,2225,0.8,0.1,0.1,1.2,0,10,30
169,22500,2250,2250,0.8,0.1,0.1,1.2,0,10,30
170,22750,2275,2275,0.8,0.1,0.1,1.2,0,10,30
171,23000,2300,2300,0.8,0.1,0.1,1.2,0,10,30
172,23250,2325,2325,0.8,0.1,0.1,1.2,0,10,30
173,23500,2350,2350,0.8,0.1,0.1,1.2,0,10,30
174,23750,2375,2375,0.8,0.1,0.1,1.2,0,10,30
175,24000,2400,2400,0.8,0.1,0.1,1.2,0,10,30
176,24250,2425,2425,0.8,0.1,0.1,1.2,0,10,30
177,24500,2450,2450,0.8,0.1,0.1,1.2,0,10,30
178,24750,2475,2475,0.8,0.1,0.1,1.2,0,10,30
179,25000,2500,2500,0.8,0.1,0.1,1.2,0,10,30
180,25250,2525,2525,0.8,0.1,0.1,1.2,0,10,30
181,25500,2550,2550,0.8,0.1,0.1,1.2,0,10,30
182,25750,2575,2575,0.8,0.1,0.1,1.2,0,10,30
183,26000,2600,2600,0.8,0.1,0.1,1.2,0,10,30
184,26250,2625,2625,0.8,0.1,0.1,1.2,0,10,30
185,26500,2650,2650,0.8,0.1,0.1,1.2,0,10,30
186,26750,2675,2675,0.8,0.1,0.1,1.2,0,10,30
187,27000,2700,2700,0.8,0.1,0.1,1.2,0,10,30
188,27250,2725,2725,0.8,0.1,0.1,1.2,0,10,30
189,27500,2750,2750,0.8,0.1,0.1,1.2,0,10,30
190,27750,2775,2775,0.8,0.1,0.1,1.2,0,10,30
191,28000,2800,2800,0.8,0.1,0.1,1.2,0,10,30
192,28250,2825,2825,0.8,0.1,0.1,1.2,0,10,30
193,28500,2850,2850,0.8,0.1,0.1,1.2,0,10,30
194,28750,2875,2875,0.8,0.1,0.1,1.2,0,10,30
195,29000,2900,2900,0.8,0.1,0.1,1.2,0,10,30
196,29250,2925,2925,0.8,0.1,0.1,1.2,0,10,30
197,29500,2950,2950,0.8,0.1,0.1,1.2,0,10,30
198,29750,2975,2975,0.8,0.1,0.1,1.2,0,10,30
199,30000,3000,3000,0.8,0.1,0.1,1.2,0,10,30
200,30250,3025,3025,0.8,0.1,0.1,1.2,0,10,30
